Funding Source Name,Compensation,
Washington Green Schools,"40,500.00",
Ashley House,"37,548.80",
Pacific Science Center,"170,100.00",
City Of Airway Heights,"30,000.00",
Tekni-Plex,"73,000.01",
Giffords,144.24,
Washington Public Ports Association,"122,497.55",
Burlington Northern Santa Fe Railroad,"633,125.00",
"Toyota Motor North America, Inc.","150,000.00",
"Northwest Grain Growers, Inc.","95,000.00",
Friends Of Lopez Island Pool,"22,500.00",
The Pew Charitable Trusts,"1,810.90",
Washington State University Global Campus,"2,269.64",
King County Bar Association,"9,379.84",
Freedom Foundation,"77,506.00",
Whatcom Co,"112,500.00",
Public Libraries Of Washington,"62,500.00",
Alcoa Us Primary Metals Intalco Aluminum Corp,"497,958.26",
Wireless Infrastructure Association (Thru Multistate),"65,000.00",
Denta Quest,"316,088.95",
Sourcewell (Doty & Assoc Inc*),"44,250.00",
Seattle Opera,"123,500.00",
Sauk-Suiattle Indian Tribe,"225,000.00",
Wa Education Assn,"1,004,192.73",
Wa Trails Assn,"98,031.67",
Wa Harvesters Assn,"10,000.00",
Crown Castle Ng West Llc,"66,000.00",
Nooksack Indian Tribe,"42,000.00",
Service Employees Intl Union Dist 925,"273,775.89",
"Revivermx, Inc.","57,000.00",
Seattle Children'S Museum,"3,400.00",
Ymcas Of Wa State,"302,070.00",
Committee For Children,"232,858.94",
Assn Of Adv Practice Psychiatric Nurses,"23,550.00",
American Institute Of Architects Wa Council,"101,426.93",
Statewide Poverty Action Network,"352,751.18",
Magnuson Park Center For Excellence,"11,000.00",
Equity In Education Coalition,"88,000.00",
Drive Forward,"6,500.00",
City Of Tacoma,"415,845.00",
Altria Client Services Llc & Its Affiliates (Gano & Assoc*),"37,278.31",
Continental Casualty Co (Gano & Assoc*),"11,556.25",
Wa Academy Of Family Physicians,"220,300.00",
Medimpact Healthcare Systems Inc.,"10,000.00",
Jj 206 Llc,"2,000.00",
Wa St Dental Hygienists Assn,"144,075.00",
San Juan Sun Grown Llc,"70,000.00",
Partners In Careers,"94,500.00",
Johnson Controls,"7,500.00",
Northwest Sustainable Energy For Economic Development,"1,301.43",
Wsia,"375,250.00",
Talgo Inc,"208,142.85",
Northwest Pulp & Paper Assn,"234,408.19",
Jewish Federation Of Greater Seattle (Nancy L Sapiro),"14,650.00",
Natl Electrical Contractors Assn,"301,000.00",
Wa School Counselors Assn,"74,000.00",
Port Of Seattle,"485,711.93",
Inland Power & Light,"216,130.00",
Wa Assn For Marriage & Family Therapy,"60,820.00",
Pacific Merchant Shipping Assn,"337,500.00",
"Yakima Valley Landlords Assn (Public Affairs Consulting, Llc)","2,343.75",
Mockingbird Society,"172,829.58",
Hntb Corp,"230,134.62",
Wa Federation Of Independent Schools,"141,000.00",
City Of Shoreline,"120,500.00",
State Farm Insurance Companies,"519,883.37",
Food Lifeline,"319,426.64",
Wa St Auto Dealers Assn Inc,"537,697.35",
Cisco Systems Inc (Thru Elli Abdoli Designated Agent For Filer (Civic Group*),"1,300.00",
Advanced Medical Technology Assn (Millennia Public Affairs Inc*),"9,000.00",
Honda North America (Thru Multistate),"199,500.00",
Level 3 Communications Llc,"2,000.00",
Cleantech Alliance (Boswell Consulting*),"8,027.69",
Community Economic Revitalization Board,"13,000.00",
Habitat For Humanity Of Wa St,"2,330.07",
City Of Longview (Mark O Brown),"14,032.00",
Esd 112,"6,105.00",
Industrial Customers Of Nw Utilities,"196,500.00",
Wa Growers League,"110,824.00",
